Codigo|Plu|Ean|Nombre|Venta|Saldo|Imagen
101130100000100    |100|7702014393484|ARVEJA/ZANAHORIA SAN JORGE 180G|5700|41|100.JPG
101210100001079    |1079|7702025103904|GALL FESTIVAL CHOCOLATE 403GR PQ|14000|14|1079.JPG
101260100001408    |1408|7702024006282|CALDO RICO 8UN 88G|3600|58|1408.JPG
101250100001390    |1390|7702354320126|BATILADO VAINILLA 82G|5400|26|1390.JPG
101130100012218    |12218|7702014601831|MAIZ/TIERN SAN JORGE 115GR LA|6400|73|12218.JPG
101230100014186    |14186|7501125185182|ELECTROLIT 625ML JAMAICA PISA|9200|0|14186.JPG
101220100101549    |101549|7702020112031|PASTA LA MUÑECA 250 TALLARIN 24BS|2100|45|101549.JPG
101010100101552    |101552|7702014375817|AJI SAN JORGE PIQUETASCO 60ML FR|3800|17|101552.JPG
102310100101821    |101821|7702191164457|DETER LIQ FAB REGULAR 300ML DP|4900|0|101821.JPG
101090100103139    |103139|7700695911553|FILETE DE SALMON ANTI.450 GRS|58500|30|103139.JPG
101210100109944    |109944|7702020101813|BROWNIE MAMA IA 70 CHOCOLATE 12UN|3500|20|109944.JPG
101210100113210    |113210|7702011070425|GALL WAFER BRIDGE CAFE 87G|4400|7|113210.JPG
101110100115073    |115073|7702189055040|PASAB DETODITO BBQ 400G|19800|10|115073.JPG
101040100116073    |116073|7702807414112|CEREAL FLIPS CHOCOLATE 400G BS|17900|25|116073.JPG
